🔴 Bractwo Nos — COMMAND & CONQUER: TIBERIUM WARS Livestream #4
🔗 https://www.youtube.com/watch?v=bACNh6-qlVI

58:  Dzięki za oglądanie!
187:  Dzięki za uwagę!
343:  Muzyka Muzyka
387:  KONIEC
432:  PROROK KEJN
434:  Zaprowadził nas do Australii.
437:  Nie ulękniemy się.
438:  Będziemy przetrzebiać pająki, będziemy niszczyć stawonogi i będziemy zgładzać kangury.
447:  żeby wtłoczyć tyberium do rury.
451:  Witajcie najserdeczniej Serenoks, Muracki i Wilmaciej, Grzegorz, Sikora, Rex, Kelion, Kucek77, Tomaszu, Omaszu, Pawełek, Jakub, Wdowiak, Nerku, Bartek Maliszewski, Artur, Motykarz, SzczęśliwySyzyf, Grabol, Janomin, Pademifernes, Irena, Agnieszka, Saran, Paweł Michałowski, Gadzior, LovelyFlames, Lepre, Bartek Maliszewski oraz Krzysztof S., Krystian, HappyDeadFace, Akkarin,
476:  Godfrey, a Karin szanuję za nawiązanie, Harasland, Venzant, Patryk Olszowy, Rexkelion, Zenit21, następna kampania z oczywiście Kejnsrath, Emeriu, Haścig, Nemeczek, Sebulba, MagdaM1, Just Whiteley, Grzegorz Sikora i Jakub oraz Szeptucha, Serenox i Nikodem Świerkowski, Preter Tammernes, Tomaszu Omaszu, Bij Gomeza i...
506:  i Asar Varov oraz Cilis od Orbitus, Harry Osborn, Iga, Lilio Vayne, Nemeczek, Black Cat, Blitz, Ruda Broda, Mirek Laszyński, Bodzio Pepe, Barzej Malinowski, Webzyam, Niestatystyczna,
527:  Wszyscy stali i niestali widzowie kanałów, wszyscy, którzy tak jak ja tęsknią za kolejnym filmem Foodem Perora, wszyscy, którzy dobrze spędzają niedzielę, wszyscy, którzy źle spędzają niedzielę i dlatego szukają eskapizmu.
540:  I witajcie, i bądźcie pozdrowieni, moi drodzy.
543:  W ramach jeszcze ogłoszeń drobnych, już puszczę Wam muzykę z Command & Conquer, powinna być słyszalna.
551:  Więc w ramach jeszcze ogłoszeń drobnych, moi drodzy, szybkie ogłoszenie drobne, to znaczy, ja pamiętam o wszystkich, którzy są zachwyceni tajemnicą Arawosa, będzie jutro o 16.00 recenzja.
560:  Już została wrzucona na kanał, ale jeszcze jest prywatna i będzie dostępna w poniedziałek, ponieważ statystyki tajemnicze mówią, że wtedy lepiej to opublikować.
568:  Koniec ogłoszeń drobnych, gramy.
570:  Irena jest jeszcze, Jan Mikołajko, na dzień dobry, gadziorrr, otrzymuje wsparcie, niuch, niuch, nos, nos, bractwo nos, moi drodzy, więc i niuch jest adekwatne, bardzo, Jan Mikołaj, dla Jan Mikołajki jeszcze witam pozostałych, Jodderkson i Matt Peterson i Piklakus oraz Cordi, Magmax, Melanfa, Majster.
592:  Tak było, ściśle zrekonstruowałeś ten przebieg wydarzeń.
601:  Jakie ogólne wrażenie?
602:  Ja kocham Command & Conquer Happy Death Face.
604:  W tej grze mam bardzo dużo czasu spędzone.
606:  Aż sprawdzę, wiecie co, nie mam tego jak wam pokazać, ale aż sprawdzę na Steamie, ile mam godzin w Cain's Wrath, czyli mojej ulubionej części serii.
616:  Mam tam 370 godzin, więc jak na tak zwaną starą grę dużo,
621:  I wpierdziel te pizze do piekarnika i na pełną piz... Nie, na pół, na pół, bo to za dużo, prąd stracisz, tak?
629:  A trzeba oszczędzać prąd, bo jesteś chytry, tak?
633:  Jesteś chytrym, jesteś chytrym poznaniakiem, krakusem i ty wiesz, co trzeba zrobić, tak?
641:  Zuspokój się już.
643:  Lecimy, lecimy, moi drodzy.
645:  Australijski burz.
647:  Dokładnie w tym miejscu podejmujemy akcję, gdzie porzuciliśmy...
653:  20 tysięcy godzin Happy Dead Face?
656:  Jezus.
656:  To powiem Ci, że mnie zaskoczy... Mój największy staż godzinowy to jest Warhammer Total War 2 i 3 i tam mam 3 tysiące.
663:  Do 20 tysięcy nigdy nie dobiłem.
