Dlaczego AKOLITA jest tak ZŁY?
🔗 https://www.youtube.com/watch?v=A4nbDZSWiHA
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
ML (Michał Lipiński, Ponarzekajmy o Filmach)

41:  BFP - Wiecie po czym poznać prawdziwych przyjaciół?
45:  BFP - Po tym, że niestrudzenie nie złomni... Przepraszam, ale tu przyjechał... Zacznę jeszcze raz.
58:  BFP - Czy wiecie po czym poznać prawdziwych przyjaciół?
60:  BFP - Nie podgłosię motocyklu, który przejeżdża pod waszym oknem, bo nie macie wytłumienia!
65:  BFP - Tylko po tym, że niestrudzeni i niezłomni będą namawiać was do obejrzenia serialu.
71:  BFP - I będą robili to tak długo, aż w końcu pękniesz i obejrzysz.
74:  BFP - I kiedy to zrobisz, to oni będą szczęśliwi, a nie ty.
77:  BFP - I tym miłym akcentem chciałem powitać Krzysztofa M. Maja z kanału autorskiego Krzysztof M. Maj.
84:  BFP - Witam.
86:  BFP - I Michała Lipińskiego z kanału Ponarzekajmy o filmach.
90:  ML - Power of one!
92:  S02 - Power of two!
94:  S02 - Power of many!
98:  BFP - Zrobiliśmy to bardziej melodyjnie i bardziej muzykalnie niż Zakon Wiedźm.
105:  BFP - Drodzy, jeżeli jeszcze nie wiecie, to od razu jakby prosto z mostu, tak, to będzie roast i to będzie grillowanie serialu Akolita, bo nie ma tutaj akurat wśród nas fanów tego serialu, nie ma wśród nas też osób, które specjalnie pozytywnie byłyby w stanie...
129:  BFP - To prawda, to znaczy czasem trafiają się seriale, które oglądasz tylko po to, żeby zobaczyć co jeszcze może się wydarzyć, ale nie w tą stronę, w którą zazwyczaj byś oglądał każdy inny serial.
139:  BFP - Ale i tak skoro ja byłem w stanie w swojej recenzji wycisnąć chociaż kilka pozytywów, patrząc na to jaki ten serial mógł być i jaki był na papierze, jak nam go sprzedano, to chcę wam zadać na początek pytanie.
152:  BFP - Czy ten serial waszym zdaniem mógł się udać?
155:  BFP - A jeżeli tak, to w jaki sposób?
158:  BFP - Krzysztofie, zacznij.
165:  KMM - Ja mam ten problem, że jak myślę o Akolicie, to nic nie myślę w tej chwili, ponieważ tego serialu mogłoby nie być całkowicie.
173:  KMM - To jest ten sam problem co z Kenobim.
176:  KMM - On się zamknął w takim kole narracyjnym i jeżeli go usuniemy z kanonu, to się nic nie zmieni.
183:  KMM - Przynajmniej nie będzie tych strasznych dziur lorowych, które teraz są i trzeba będzie coś z nimi zrobić prawdopodobnie.
