Skąd nasz BRAK MOTYWACJI do pracy?
🔗 https://www.youtube.com/watch?v=6re7bgJmQgA

0:  Co robić, gdy nic nie chce się robić?
2:  Ba, co robić, gdy nie chce się odpoczywać?
5:  Co robić, gdy nie czujemy motywacji do działania, od pracy do właśnie relaksu, do zmiany czegokolwiek w naszym życiu, począwszy od treningów, a skończywszy na tym, w jaki sposób się uczymy czy pracujemy?
17:  Jeżeli zadawaliście sobie te pytania, oczywiście nie jesteście sami.
21:  Nie jestem specjalnym odkrywcą, biorąc pod uwagę fakt, że co drugi film na YouTubie to jest jakaś mowa motywacyjna, która ma nam niby pomóc w tym, żeby zmotywować się do działania.
32:  Problem polega na tym, że te mowy motywacyjne
34:  Zazwyczaj są tylko plastrem, który naklejamy na jątrzącą się ranę, gdyż tak naprawdę nie zadajemy sobie pytania, które powinniśmy sobie zadawać na samym początku.
43:  Co sprawiło po raz pierwszy, że nie poczuliśmy tej motywacji?
48:  Kiedy to się zaczęło?
49:  Gdzie można prześledzić ten proces i przede wszystkim w ogóle co ta cholerna motywacja znaczy?
55:  Dzisiaj będzie film, który mam nadzieję odpowie Wam na te wszystkie pytania i co więcej w drugiej części da Wam solidne dowody naukowe pokazujące, że niestety wszystko się bierze ze stylu w jakim
68:  Uf, dostępniamy innym i pozyskujemy zarazem informację zwrotną.
72:  Czyli tak, w jaki sposób się oceniamy, ale nie w szkole, nie na uniwersytecie, tylko w ogóle.
78:  Motywacja sama w sobie nie jest czymś, co jest, nie wiem, jakimś...
83:  terminem zachowanym wyłącznie dla guru, trenerów personalnych i coachy.
87:  W żadnym razie motywacja ma bardzo proste znaczenie i jeszcze w łacinie, w języku angielskim, w języku francuskim zachowuje ona to znaczenie sprawczości, motywowania właśnie do działania, czyli sprawiania, że my będziemy chcieli coś zrobić, ba, że będziemy mieli moc
105:  zrobienia czegokolwiek.
106:  Ta moc, ta wewnętrzna siła to jest właśnie motywacja.
109:  Tylko że problem polega na tym, że motywacja w naszej rzeczywistości jest nie tylko wewnętrzna.
118:  Ba, rzekłbym nawet, że najczęściej
121:  Ta motywacja, z którą mieliście kiedykolwiek do czynienia, była motywacją zewnętrzną.
125:  No bo kiedy sięgamy po tę nieszczęsną mowę motywacyjną na YouTubie?
131:  Wtedy, kiedy potrzebujemy, żeby ktoś z zewnątrz nam powiedział, tak, przysłowiowo, jesteś zwycięzcą, go, go, girl, dasz radę,
139:  uda ci się, mnie się udało, tobie się też uda.
142:  O, zobacz, tutaj Steve Jobs, Elon Musk, ojej, im się udało, ponieważ nic innego nie robili, tylko wstawali o 4 nad ranem i pracowali nad sobą.
152:  To z pewnością, jeżeli tak samo zrobisz, tobie się też uda.
156:  Poczuliście się zmotywowani?
159:  Problem polega na tym, że ta motywacja nie działa dlatego, że ona jest skrojona nie pod potrzeby jednego człowieka, tylko uogólnione potrzeby wszystkich wyidealizowanych ludzi będących pionkami wielkiej machiny.
175:  Albo korporacyjnej, albo kapitalistycznej, albo systemowej, tak czy siak większej całości.
180:  Możemy powiedzieć najogólniej bez ideologizacji społeczeństwa.
183:  Ale to nie są potrzeby jednostkie.
185:  Problem polega na tym, że my szukamy odpowiedzi na to, dlaczego mnie nie idzie.
190:  No i odpowiedź na to pytanie, dlaczego nam nie idzie, jest moim zdaniem bardzo prosta.
194:  Przynajmniej na tyle, na ile sam się diagnozowałem i na ile poznałem literaturę naukową na ten temat, mogę powiedzieć jedno.
201:  Zaczynamy mieć problem z motywacją wtedy, kiedy albo zaczyna nam coś nie wychodzić i nie wiemy dlaczego,
206:  Albo wtedy, kiedy skończy się czas szkolny i sielanki, w tym sensie, że mamy do dyspozycji ludzi, którzy nic innego nie robią, tylko nas oceniają, więc albo pat patają pod główce, albo grożą paluszkiem, nagle ci ludzie znikają i znika,
221:  źródło zewnętrznej motywacji.
223:  I wreszcie możemy mieć też problem z motywacją wtedy, kiedy zmagamy się z samooceną, kiedy nie umiemy dowartościować siebie sami, co też pośrednio bierze się z dwóch pierwszych przyczyn, ale związane jest bardziej już z naszą kondycją, z może tym, w jaki sposób nie radzimy sobie z krytyką albo tym, że nie wiemy nawet, w czym jesteśmy dobrzy.
243:  Więc na najbardziej podstawowym poziomie
246:  Brak motywacji do działania może się brać z tego, że po prostu nie wiemy, jakie są nasze słabe i mocne strony.
253:  I teraz zachęcam was do tego, żebyście na własną rękę, ale szczerze i autentycznie, bez cierpiętnictwa, bez tego cholernego polskiego mesjanizmu, jestem beznadziejny, mnie to się nic nie udaje, o Boże, ja nic nie umiem, inni mają lepsze...
269:  Bez porównywania się, bez mesjanizmu, bez wiktymologii, bez ofiarnictwa, bez cierpiętnictwa, siądź z kartką, rozpisz sobie rzeczy, z których jesteś, o, dumny, dumna, dumno, albo które po prostu sprawiają ci przyjemność, dają szczęście, dają radość, dają satysfakcję.
287:  Nieważne, co to jest.
288:  Czy to jest coś, co jest z segmentu rozrywki, czy z odpoczynku, czy z prac... Nieważne.
293:  Coś, co Ci daje satysfakcję najpewniej będzie też tym, w czym prędzej czy później zaczniesz osiągać jakieś sukcesy.
299:  Zawsze tak jest dobrze.
301:  Tylko, że trzeba to opisać konkretnie.
303:  No bo co to znaczy na przykład, jestem dobry z gier komputerowych?
306:  I jaki gier komputerowych?
307:  Co to znaczy dobry?
308:  Co konkretnie umiesz?
310:  Czy ta umiejętność przydaje Ci się gdzieś indziej?
312:  Czego konkretnie się tutaj nauczyłeś?
315:  Co sprawia, że porównujesz się do innych i dlatego czujesz się lepszy?
321:  A tak naprawdę, co Tobie daje szczęście, co Tobie daje radość bez innych, bez porównywania się z innymi?
326:  Nagle się okazuje, że to jest strasznie trudne.
328:  I prawda jest taka, że mądry coaching, mądra terapia, mądry tutoring powinien polegać właśnie na tym, że ktoś z Wami siada.
336:  I powoli rozmawia na temat tego, co tak naprawdę jest twoją słabą, a co jest twoją silną stroną.
345:  Bez tego ani rusz.
347:  I wiecie co?
347:  Mamy taką jedną instytucję, gdzie mogłoby to być realizowane.
351:  I ta instytucja nazywa się szkoła, a potem uniwersytet.
355:  a potem zakład pracy.
356:  We wszystkich tych miejscach możemy spotkać ludzi, którzy mogą dać nam tę właśnie informację zwrotną na temat naszych słabych i mocnych stron, która jest później podstawą budowania wewnętrznej motywacji.
368:  I teraz, skoro powiedziałem o motywacji wewnętrznej i zewnętrznej, źródło naukowe, które pozwoli Wam osadzić to wszystko w konkretnych badaniach i przede wszystkim w empirycznej wiedzy na temat tego, co tak naprawdę sprawia, że zaczynacie budować to poczucie sprawczości i mocy do działania.
385:  Wyszedł tekst całkiem niedawno, to jest 2019 rok, który jest metaanalizą, czyli zbiorem różnych artykułów, bardzo rozległym, pozwalającym na takie przekrojowe spojrzenie na dany problem, wpływu ocen i komentarzy,
400:  czyli komentarzy słownych w tym przypadku, ocen cyfrowych albo ocen wartościujących, bo wiecie, możecie ocenę cyfrową zastąpić, o, jak ktoś sobie żartował w wielu komentarzach pod moimi filmami o edukacji, oceną opisową, że coś jest bardzo dobre albo piękne albo wspaniałe.
415:  No nie, to nie jest ocena opisowa.
418:  To jest stopień, to jest nazwa stopnia, tym się różni stopień od oceny, że ocena wymaga sformułowania jakiejś opinii, a stopień jest tylko wyrazem tej opinii, która może być podsumowaniem.
429:  Więc bardzo dobry, celujący i tak dalej, to też jest ta great, to też jest ten stopień, natomiast komentarz,
435:  To jest właśnie informacja zwrotna.
436:  Ja w zasadzie mógłbym zakończyć pokazywanie wam tego tekstu na abstrakcie, gdzie jest powiedziane, że w porównaniu z osobami, które pozyskują właśnie komentarze, informacje zwrotne, ludzie otrzymujący stopnie wyłącznie mają gorsze osiągnięcia i mniej optymalną motywację do działania.
454:  To jest ciekawe, ponieważ przecież ilekroć myślimy, że
459:  To, że dostajemy dobre oceny, właśnie sprawia, że czujemy się zmotywowani do działania.
464:  To zaraz, ktoś nas oszukał?
467:  A może nie jest właśnie tak, że ktoś nas oszukał?
469:  Może jest tak, że jeżeli tracimy ze swojego horyzontu myślowego, tego dobrego bardzo często przewodnika, który nam mówi, no ślicznie sobie poradzimy, pięknie, wspaniale, albo tego złego stróża, który mówi, źle wszystko i beznadziejnie, nagle tracimy taką osobę w życiu i nie wiemy, co zrobić.
487:  Jesteśmy na bezdrożu.
488:  I właśnie na tym polega problem z takimi szybkimi strzałami dopaminowymi, które dam wam.
495:  Celujący, szósteczka, certyfikat.
497:  Ile będziecie się z tego cieszyć?
499:  Dwadzieścia lat?
501:  Czy dwa miesiące?
502:  A może dwa tygodnie?
504:  I co po tych dwóch tygodniach i dwóch miesiącach certyfikatu?
508:  Powiecie w internecie ludziom, że to macie?
510:  Wyśmieją was.
512:  sobie samemu powiedzieć, tak, satysfakcja intelektualna jest, pozostaje, ale satysfakcją intelektualną się nie najecie.
518:  Zwłaszcza, jeżeli nie będziecie wiedzieli, z czego się ona konkretnie bierze.
522:  Więc przejrzyjmy sobie najważniejsze wnioski z tego tekstu.
524:  Oczywiście zachęcam Was do tego, żeby go przeczytać, zapoznać się z nim na spokojnie.
528:  Będzie podlinkowany w opisie filmu, jak zawsze.
530:  Po pierwsze, czytamy, że podczas gdy wewnętrzna motywacja
536:  sprawia, że ukierunkowujemy się na jakimś uwewnętrznionym wnioskowaniu podczas podejmowania się jakichkolwiek działań.
545:  Motywacja zewnętrzna z kolei sprawia, że fokusujemy się czy koncentrujemy się bardziej na powodach,
553:  celach tego działania.
555:  Krótko mówiąc, ta motywacja zewnętrzna jest bardzo często transakcyjna.
559:  Dostajesz szósteczkę, w związku z powyższym, jak dostajesz szósteczkę, to jest stypendium, tak?
563:  A jak jest stypendium, no to wiadomo, no to jest wtedy dobrostan, tak?
567:  Mamy zapewniony byt, więc wtedy w naszym mózgu tworzy się bardzo prosta korelacja.
572:  No tak, opłaca się mieć oceny, bo im lepsze oceny, tym lepsze stypendium i wtedy będzie zapewniony byt i wszystko jest w porządku.
579:  Tylko, że to jest równocześnie bardzo niebezpieczne, bo jeżeli zaczniesz dostawać złe stopnie, złe cyferki, no to nagle nie ma stypendium, ale równocześnie zauważcie, że jest coraz gorsza motywacja, bo nie ma tej motywacji zewnętrznej, a myśmy nawet nie zaczęli mówić o tej motywacji wewnętrznej, która jest o wiele bardziej złożona.
597:  Bo zauważcie, że motywacja wewnętrzna wiąże się również z...
603:  ukierunkowaniem na osiąganie mistrzostwa, dalekosiężnych celów, równocześnie z zainteresowaniem.
611:  Dlaczego tak wiele osób, które ma dobre oceny w szkole równocześnie, nie jest zainteresowane tymi przedmiotami, w których ma tego rodzaju osiągi?
